,,,,
Content part,English Content,Arabic Content,,
Contact number,19277,19277,,
Address,Shop No. 39 High Hill Road - Mokattam District,محل رقم 39 - حي المقطم,,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,"Al Haram St.,", شارع الهرم,,
Region,Haram,الهرم,,
Contact number,19277,19277,,
Address,324 El Haram Street,324 شارع الهرم,,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name, Haram Crystal ’Mall, الهرم كريستال مول,,
Region,Haram, الهرم,,
Contact number,19277,19277,,
Address,"44 El Haram Street, Crystals Mall, Mashaal Station",44 شارع الهرم كريستال مول محطه مشعل,,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,Dandy Mall,داندي مول,,
Region,Cairo-Alexandria Desert Road,طريق مصر الأسكندريه الصحراوى,,
Contact number,19277,19277,,
Address,"Dandy Mall, km 28 Cairo-Alexandria Desert Rd",داندي مول الكيلو 28 مصر اسكندرية الصحراوي,,
Opening Hours,11 am-1 am,11صباحاُ-1 صباحاُ,,
,,,,
Store name,Americana Plaza,مول أمريكانا بلازا ,,
Region,Shiekh Zayed,الشيخ زايد,,
Contact number,19277,19277,,
Address,Inside Americana Plaza Mall,داخل مول أمريكانا بلازا ,,
Opening Hours,11 am-1 am,11صباحاُ-1 صباحاُ,,
,,,,
Store name,Mall of Arabia,مول العرب,,
Region,6th of October,6 اكتوبر,,
Contact number,19277,19277,,
Address,Mall Of Arabia - In front of the cinema,مول العرب أمام مدخل السينما,,
Opening Hours,11 am-1 am,11صباحاُ-1 صباحاُ,,
,,,,
Store name,6th of October,6 أكتوبر,,
Region,6th of October,6 أكتوبر,,
Contact number,19277,19277,,
Address,Central Axis Commercial in front of the 9 District - October City ,المنطقة المكزية التجارية امام الحي التاسع - مدينة 6 أكتوبر,,
Opening Hours,11 am-2 am,11صباحاُ-2 صباحاُ,,
,,,,
Store name,Zayed,زايد,,
Region,Shiekh Zayed,الشيخ زايد,,
Contact number,19277,19277,,
Address,El Eskan El Hadaeky - Central Axis- Building No. 19 - Store No. 12,"الأسكان الحدائقى المنطقة المركزية - مبنى رقم 19 , محل رقم 12",,
Opening Hours,11 am-2 am,11صباحاُ-2 صباحاُ,,
,,,,
Store name,Mandara Corniche,المندره الكورنيش,,
Region,Mandara - Alexandria,المندره الأسكندريه ,,
Contact number,19277,19277,,
