,,
Content part,English Content,Arabic Content
Contact number,1 - 82 - 7272,
Address,"Jahraa Industrial Area, Area 6 ",
Google Map Long/Lat (inserted only) ,"29.318047,47.658859",
Opening Hours,11AM - 1AM ,
,,
Store name,Doha Branch ,
Governorate,Jahraa Governorate,
Contact number,1 - 82 - 7272,
Address,"Entertainment City, Doha ",
Google Map Long/Lat (inserted only) ,,
Opening Hours,10AM - 10PM,
,,
Store name,Jahraa 2 ,
Governorate,Jahraa Governorate,
Contact number,1 - 82 - 7272,
Address,4 street 14-18 AL Jahrah,
Google Map Long/Lat (inserted only) ,"29.353527,47.667168",
Opening Hours,2PM - 1 AM ,
,,
Store name,Fahaheel Branch ,
Governorate,Ahmadi Governorate ,
Contact number,1 - 82 - 7272,
Address,"Block 8, Street #28, Building 6, Fahaheel",
Google Map Long/Lat (inserted only) ,"29.082522,48.124507",
Opening Hours,12:30PM - 12AM,
,,
Store name,Farwaniyah 2,
Governorate,Farwaniyah Governorate,
Contact number,1 - 82 - 7272,
Address,Qannas Nashi Al Fajji Street 44 t Al Farwaniyah ,
Google Map Long/Lat (inserted only) ,"29.273659,47.956654",
Opening Hours,2:30PM - 11:30PM ,
,,
Store name,Jeleeb Al Shuyoukh ,
Governorate,Farwaniyah Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 1, Behind NBK and Gulf Mart, St. #50, Al Taba Building",
Google Map Long/Lat (inserted only) ,"29.260764,47.942595",
Opening Hours,11:30AM - 1AM ,
,,
Store name,Ardiyah Branch ,
Governorate,Farwaniyah Governorate,
Contact number,1 - 82 - 7272,
Address,"Shiekh Zayed Bin Sultan Al Nahyan Road, Ardiyah ",
Google Map Long/Lat (inserted only) ,"29.297976,47.907956",
Opening Hours,11:30AM - 10PM ,
,,
Store name,Al Salam Mall Branch ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Syed Yasen Street, Al Salam Mall, Salmiya ",
Google Map Long/Lat (inserted only) ,"29.336292,48.062836",
Opening Hours,11:30AM - 11:30PM,
,,
Store name,Salmiya 2,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Lane 2  21, Al Mousa Abdulrazaq, Maidan Hawally ",
Google Map Long/Lat (inserted only) ,"29.335739,48.046333",
Opening Hours,12PM - 12AM,
,,
Store name,Bneid AL Gar  Branch ,
Governorate,Capital Governorate,
Contact number,1 - 82 - 7272,
Address,Street 77 33 Bneid AL Gar ,
Google Map Long/Lat (inserted only) ,"29.374102,47.999209",
Opening Hours,12:30PM - 10:30PM,
,,
Store name,Yaal Mall Branch ,
Governorate,Ahmadi Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 11, Yaal Mall, Fahaheel ",
Google Map Long/Lat (inserted only) ,"29.079875,48.137594",
Opening Hours,12PM - 10PM ,
,,
Store name,Messilah Branch ,
Governorate,Mubarak Al Kabeer Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 1, Sabah Salem",
Google Map Long/Lat (inserted only) ,"29.263435,48.083683",
Opening Hours,12PM - 12AM ,
